produk_sku,bahan_sku,persen,qty_per_batch_kg,satuan,catatan
FG-BRS-01,RM-JGP-01,48.00,2400.000,KG,Batch standar 5000 KG; harga bahan Rp 5800/KG
FG-KSB-01,RM-CHL-01,0.20,8.000,KG,Batch standar 4000 KG; harga bahan Rp 21000/KG
FG-KSB-01,RM-ENZ-01,0.10,4.000,KG,Batch standar 4000 KG; harga bahan Rp 88000/KG
FG-ITK-01,RM-JGP-01,45.00,1350.000,KG,Batch standar 3000 KG; harga bahan Rp 5800/KG
FG-ITK-01,RM-DDK-01,20.00,600.000,KG,Batch standar 3000 KG; harga bahan Rp 3500/KG
FG-ITK-01,RM-SBM-01,15.00,450.000,KG,Batch standar 3000 KG; harga bahan Rp 7700/KG
FG-ITK-01,RM-TIK-01,8.00,240.000,KG,Batch standar 3000 KG; harga bahan Rp 11000/KG
FG-ITK-01,RM-MBM-01,4.00,120.000,KG,Batch standar 3000 KG; harga bahan Rp 6800/KG
FG-ITK-01,RM-LMS-01,5.00,150.000,KG,Batch standar 3000 KG; harga bahan Rp 900/KG
FG-ITK-01,RM-DCP-01,1.00,30.000,KG,Batch standar 3000 KG; harga bahan Rp 9800/KG
FG-ITK-01,RM-CPO-01,0.80,24.000,KG,Batch standar 3000 KG; harga bahan Rp 12500/KG
FG-ITK-01,RM-PMX-02,0.80,24.000,KG,Batch standar 3000 KG; harga bahan Rp 30000/KG
FG-ITK-01,RM-GRM-01,0.30,9.000,KG,Batch standar 3000 KG; harga bahan Rp 3200/KG
FG-ITK-01,RM-MET-01,0.10,3.000,KG,Batch standar 3000 KG; harga bahan Rp 62000/KG
FG-PYH-01,RM-JGP-01,48.00,1440.000,KG,Batch standar 3000 KG; harga bahan Rp 5800/KG
FG-PYH-01,RM-SBM-01,24.00,720.000,KG,Batch standar 3000 KG; harga bahan Rp 7700/KG
FG-PYH-01,RM-DDK-01,10.00,300.000,KG,Batch standar 3000 KG; harga bahan Rp 3500/KG
FG-PYH-01,RM-TIK-01,6.00,180.000,KG,Batch standar 3000 KG; harga bahan Rp 11000/KG
FG-PYH-01,RM-MBM-01,3.00,90.000,KG,Batch standar 3000 KG; harga bahan Rp 6800/KG
FG-PYH-01,RM-LMS-01,6.00,180.000,KG,Batch standar 3000 KG; harga bahan Rp 900/KG
FG-PYH-01,RM-DCP-01,1.20,36.000,KG,Batch standar 3000 KG; harga bahan Rp 9800/KG
FG-PYH-01,RM-CPO-01,0.80,24.000,KG,Batch standar 3000 KG; harga bahan Rp 12500/KG
FG-PYH-01,RM-PMX-02,0.60,18.000,KG,Batch standar 3000 KG; harga bahan Rp 30000/KG
FG-PYH-01,RM-MET-01,0.15,4.500,KG,Batch standar 3000 KG; harga bahan Rp 62000/KG
FG-PYH-01,RM-LYS-01,0.10,3.000,KG,Batch standar 3000 KG; harga bahan Rp 38000/KG
FG-PYH-01,RM-GRM-01,0.15,4.500,KG,Batch standar 3000 KG; harga bahan Rp 3200/KG
FG-KSP-01,RM-BKK-01,20.00,600.000,KG,Batch standar 3000 KG; harga bahan Rp 4100/KG
FG-KSP-01,RM-PKM-01,18.00,540.000,KG,Batch standar 3000 KG; harga bahan Rp 3400/KG
FG-KSP-01,RM-DDK-01,20.00,600.000,KG,Batch standar 3000 KG; harga bahan Rp 3500/KG
FG-KSP-01,RM-SBM-01,12.00,360.000,KG,Batch standar 3000 KG; harga bahan Rp 7700/KG
FG-KSP-01,RM-MOL-01,8.00,240.000,KG,Batch standar 3000 KG; harga bahan Rp 3600/KG
FG-KSP-01,RM-DGS-01,10.00,300.000,KG,Batch standar 3000 KG; harga bahan Rp 6100/KG
FG-KSP-01,RM-MBM-01,4.00,120.000,KG,Batch standar 3000 KG; harga bahan Rp 6800/KG
FG-KSP-01,RM-LMS-02,4.00,120.000,KG,Batch standar 3000 KG; harga bahan Rp 750/KG
FG-KSP-01,RM-GRM-01,1.50,45.000,KG,Batch standar 3000 KG; harga bahan Rp 3200/KG
FG-KSP-01,RM-DCP-01,1.00,30.000,KG,Batch standar 3000 KG; harga bahan Rp 9800/KG
FG-KSP-01,RM-PMX-02,1.00,30.000,KG,Batch standar 3000 KG; harga bahan Rp 30000/KG
FG-KSP-01,RM-CHL-01,0.50,15.000,KG,Batch standar 3000 KG; harga bahan Rp 21000/KG
FG-KMB-01,RM-BKK-01,22.00,660.000,KG,Batch standar 3000 KG; harga bahan Rp 4100/KG
FG-KMB-01,RM-PKM-01,20.00,600.000,KG,Batch standar 3000 KG; harga bahan Rp 3400/KG
FG-KMB-01,RM-DDK-01,18.00,540.000,KG,Batch standar 3000 KG; harga bahan Rp 3500/KG
FG-KMB-01,RM-SBM-01,14.00,420.000,KG,Batch standar 3000 KG; harga bahan Rp 7700/KG
FG-KMB-01,RM-MOL-01,9.00,270.000,KG,Batch standar 3000 KG; harga bahan Rp 3600/KG
FG-KMB-01,RM-DGS-01,8.00,240.000,KG,Batch standar 3000 KG; harga bahan Rp 6100/KG
FG-KMB-01,RM-LMS-02,4.00,120.000,KG,Batch standar 3000 KG; harga bahan Rp 750/KG
FG-KMB-01,RM-GRM-01,2.00,60.000,KG,Batch standar 3000 KG; harga bahan Rp 3200/KG
FG-KMB-01,RM-DCP-01,1.20,36.000,KG,Batch standar 3000 KG; harga bahan Rp 9800/KG
FG-KMB-01,RM-PMX-02,1.30,39.000,KG,Batch standar 3000 KG; harga bahan Rp 30000/KG
FG-KMB-01,RM-CHL-01,0.50,15.000,KG,Batch standar 3000 KG; harga bahan Rp 21000/KG
