module,tier,domain,maturity,coupling,disposition,version,layer,dependents,loc,files,tests,commits,last_commit,cdc_impact_cols,application,license,name_collision,summary,packs,tags,models_without_search,core_field_dupes
custom_spk_estimation,core,Finance & Accounting,B,GENERIC,ADOPT,19.0.0.1.0,5,3,624,13,1,,,,False,LGPL-3,False,"Bill of quantity, waste allowance, and a quoted price derived by margin rather than markup",booth-production,,,
custom_spk_material,core,Inventory & Logistics,B,GENERIC,ADOPT,19.0.0.1.0,6,1,968,17,2,,,,False,LGPL-3,False,"Material requests with supervisor approval, over-estimate escalation, and an offcut policy that stops one job paying for the next one's material",booth-production,,,
custom_spk_shopfloor,core,Platform & Ops,B,GENERIC,ADOPT,19.0.0.1.0,7,0,558,12,1,,,,False,LGPL-3,False,"One round of the workshop, entered in under a minute on a phone, and queued when there is no signal",booth-production,,,
custom_spk_survey,core,Platform & Ops,B,GENERIC,ADOPT,19.0.0.1.0,6,0,413,11,2,,,,False,LGPL-3,False,"Site survey before the estimate, because most installation overrun is a venue condition nobody looked at",booth-production,,,
custom_spk_workforce,core,HR & People,B,GENERIC,ADOPT,19.0.0.1.0,5,1,1237,21,2,,,,False,LGPL-3,False,"Shift attendance for pay, work logs for cost, and the monthly allocation that stops permanent labour disappearing from COGS",booth-production,,,
custom_athera_billing,control_plane,,,,,19.0.1.1.0,3,1,1488,18,0,,,,False,LGPL-3,False,"Langganan per tenant, faktur berulang, dan seam penagihan ke hak akses.",,,,
custom_athera_provisioner,control_plane,,,,,19.0.1.0.0,3,0,298,5,0,,,,False,LGPL-3,False,"Create a tenant database from inside Odoo, as a queue_job",,,,
custom_athera_service,control_plane,,,,,19.0.1.0.0,5,0,594,13,1,,,,False,LGPL-3,False,"Jam kontrak untuk pengembangan kustom, pemeliharaan, dan training",,,,
custom_athera_sso,control_plane,,,,,19.0.1.0.0,1,0,260,4,0,,,,False,LGPL-3,False,"Masuk ke Odoo dari sesi ATHERA, tanpa password kedua.",,,,
custom_hub_console,control_plane,Platform & Ops,B,GENERIC,ADOPT,19.0.0.2.0,7,1,3311,39,2,6,2026-08-04,0,True,LGPL-3,False,"Unified hub: tenants, modules, monitoring, BRD, HHT, AI, audit",,ai;audit-trail;hht;multi-tenant,,
custom_onboarding_journey,control_plane,Platform & Ops,B,GENERIC,ADOPT,19.0.1.0.0,9,1,2416,34,3,3,2026-07-29,0,True,LGPL-3,False,"Lifecycle orchestrator: intake -> BRD -> Go/No-Go -> provisioning -> handover, with bi-directional Project sync",,,onboarding.journey;onboarding.public.submission;onboarding.stage.transition,
custom_super_admin,control_plane,Platform & Ops,B,GENERIC,ADOPT,19.0.0.3.0,2,9,2182,32,1,2,2026-08-04,0,True,LGPL-3,False,"Ops-only multi-tenant control plane: provision, suspend, backup, restore tenants",,multi-tenant,tenant.backup,
custom_tenant_infra,control_plane,Platform & Ops,B,GENERIC,ADOPT,19.0.0.1.0,8,1,1002,27,1,2,2026-07-29,0,False,LGPL-3,False,"VPS lifecycle + auto-deploy (SSH bootstrap, Docker, Caddy, Odoo stack)",,multi-tenant,tenant.environment;tenant.vps;tenant.vps.bootstrap.template,
custom_coretax,compliance,Indonesia Compliance,A,GENERIC,ADOPT,19.0.0.4.0,2,7,2048,40,1,20,2026-08-04,12,True,LGPL-3,False,"Indonesian Coretax DJP compliance: NSFP, e-Faktur XML export/import, Bukti Potong, Sertel storage",retail;fnb;drone_services;drone_rental;distrib;manufacturing;services;ppob,coretax;indonesian-tax,custom.coretax.config,
custom_coretax_bupot,compliance,Indonesia Compliance,A,GENERIC,ADOPT,19.0.0.2.0,4,2,893,21,1,12,2026-08-04,0,True,LGPL-3,False,Bukti Potong PPh Unifikasi (PPh 22 / 23 / 4(2) / 15 / 26) with XML export and DJP number upload per Coretax schema.,retail;services;ppob,coretax;indonesian-tax;withholding,custom.bupot.unifikasi.line,
custom_pdp_audit,compliance,Indonesia Compliance,B,GENERIC,ADOPT,19.0.0.3.0,3,79,886,18,0,15,2026-08-04,0,False,LGPL-3,False,Append-only hash-chained audit log (UU 27/2022),,ai;audit-trail;pdp,res.partner;res.users,
custom_pdp_consent,compliance,Indonesia Compliance,B,GENERIC,ADOPT,19.0.0.2.0,4,5,487,18,0,10,2026-08-04,0,False,LGPL-3,False,Consent management with audited grant/withdraw (UU 27/2022),,audit-trail;pdp,pdp.consent.purpose,
custom_pdp_dsar,compliance,Indonesia Compliance,C,GENERIC,DEFER,19.0.0.2.0,4,0,452,13,0,8,2026-08-04,0,False,LGPL-3,False,Data Subject Access Requests under UU 27/2022,,audit-trail;pdp,,
custom_pdp_retention,compliance,Indonesia Compliance,C,GENERIC,DEFER,19.0.0.2.0,4,1,346,14,0,9,2026-08-04,0,False,LGPL-3,False,Data retention policies & lifecycle automation (UU 27/2022),,audit-trail;pdp,pdp.retention.policy,
custom_pdp_taxonomy,compliance,,,,,19.0.0.2.0,2,19,443,18,0,,,,False,LGPL-3,False,PDP data classification taxonomy (UU 27/2022),,,,
custom_pph_witholding,compliance,Indonesia Compliance,B,GENERIC,ADOPT,19.0.0.2.0,5,2,907,23,1,9,2026-08-04,0,False,LGPL-3,False,Generic PPh witholding engine (rates registry + computation + application log) for Indonesian Income Tax.,ppob,indonesian-tax;withholding,custom.witholding.application;custom.witholding.rate,
authenticate_keycloak,ee_gap,Platform & Ops,C,GENERIC,DEFER,19.0.2.0.0,2,0,265,8,0,2,2026-07-17,0,False,LGPL-3,False,"Adds the OAuth2 authorization-code flow (confidential client) to Odoo's auth_oauth, so Keycloak clients with Client Authentication on can log in",,,,
custom_account_batch_payment,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.1.0.0,1,0,673,15,1,3,2026-07-29,0,False,LGPL-3,False,Batch payments with Indonesian bank transfer-file export (EE account_batch_payment gap closure).,,,custom.account.batch.payment;custom.batch.payment.format,
custom_account_deferred,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.1.0.0,1,0,479,14,1,2,2026-07-24,9,False,LGPL-3,False,EE-style deferred entries: spread invoice/bill lines over a date range via a deferred account (EE gap closure).,,,,
custom_account_reconcile,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.2.0.0,1,0,879,14,1,2,2026-07-24,0,False,LGPL-3,False,Enterprise-style manual reconciliation menu and wizard for Odoo CE (EE-gap closure).,,,,
custom_accounting_asset,ee_gap,Finance & Accounting,A,GENERIC,ADOPT,19.0.0.5.0,6,5,3148,37,1,26,2026-08-04,0,True,LGPL-3,False,"Fixed asset register with depreciation schedule, monthly posting cron, and disposal workflow",manufacturing,,custom.fixed.asset.depreciation.line;custom.fixed.asset.group;custom.fixed.asset.location;custom.fixed.asset.revaluation,
custom_accounting_full,ee_gap,Finance & Accounting,A,GENERIC,ADOPT,19.0.0.4.0,4,7,4829,68,10,15,2026-07-29,15,True,LGPL-3,False,Indonesian COA + intercompany automation + consolidation reports (CE multi-company gap),retail;fnb;drone_services;drone_rental;distrib;manufacturing;services;ppob,accounting;consolidation;intercompany,account.consolidation.config;account.intercompany.account.mapping;account.intercompany.rule;custom.consolidation.chart;custom.consolidation.chart.account;custom.consolidation.mapping;custom.credit.check.log;custom.elimination.proposal;custom.elimination.proposal.line;custom.elimination.rule;custom.fiscal.year;custom.followup.level;custom.match.line.result;custom.match.policy;custom.match.result,res.partner.custom_credit_limit~credit_limit
custom_accounting_menu,ee_gap,,,,,19.0.1.0.0,7,0,104,3,0,,,,False,LGPL-3,False,"Separate Accounting from Invoicing, the way Enterprise presents them",,,,
custom_accounting_recurring,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.0.1.0,5,1,931,18,1,8,2026-07-29,1,True,LGPL-3,False,Recurring journal entries and recurring payments (EE-gap fulfillment).,services,,custom.recurring.journal.template.line;custom.recurring.payment.template,
custom_accounting_reports,ee_gap,Finance & Accounting,A,GENERIC,ADOPT,19.0.0.15.0,5,6,14657,137,1,50,2026-08-04,0,True,LGPL-3,False,"Production-grade financial reports engine (P&L, BS, GL, TB, Cash Flow, Aging, Partner Ledger, Tax, Day/Cash/Bank Book, Journal Audit) for the Custom Platform.",ppob,audit-trail,custom.report.financial,
custom_affiliate,ee_gap,Sales / Rental / Service,C,GENERIC,DEFER,19.0.1.0.0,1,0,827,18,0,4,2026-07-29,2,True,LGPL-3,False,"Affiliate program: tracked links, click capture, order attribution, commission & payouts",,,custom.affiliate;custom.affiliate.click;custom.affiliate.conversion;custom.affiliate.link;custom.affiliate.payout,
custom_ai_features,ee_gap,Productivity & AI,C,GENERIC,DEFER,19.0.0.1.1,5,2,1236,24,0,6,2026-05-23,0,True,LGPL-3,False,"AI-driven assistance: Ask AI everywhere, anomaly inbox, NLQ chat, document auto-classify",,ai;anomaly-detection,ai.anomaly.scan;ai.nlq.message;ai.nlq.session,
custom_appointments,ee_gap,Marketing & Web,C,GENERIC,DEFER,19.0.0.1.0,4,0,582,19,0,6,2026-05-28,0,True,LGPL-3,False,Public-facing booking + internal appointment calendar with resource availability,fnb;services,ai,appointment.booking;appointment.resource;appointment.type,
custom_approval_engine,ee_gap,Other,A,GENERIC,ADOPT,19.0.0.1.0,4,9,2340,41,5,11,2026-07-29,0,True,LGPL-3,False,"Generic multi-tier approval workflow with delegation, OOO, and SLA escalation",retail;drone_services;services;ppob,approval-workflow,approval.delegation;approval.matrix;approval.matrix.tier;approval.ooo;approval.request.line;purchase.order;sale.order,
custom_asset_from_receipt,ee_gap,Finance & Accounting,C,GENERIC,DEFER,19.0.0.1.0,7,0,567,17,0,3,2026-07-29,6,False,LGPL-3,False,Bulk-convert received serial-numbered products into Fixed Assets + Rental Assets via a per-item picker wizard,,rental,,
custom_asset_ops_reports,ee_gap,Other,C,GENERIC,DEFER,19.0.0.1.0,7,0,880,22,0,1,2026-07-17,0,False,LGPL-3,False,"Operational reports for the drone fleet — asset opname, event movement, spare parts, maintenance health, repair history.",,ai;fleet,,
custom_attendance,ee_gap,HR & People,B,GENERIC,ADOPT,19.0.0.2.0,5,0,1006,21,2,7,2026-07-29,0,True,LGPL-3,False,"Geofence check-in, kiosk portal, approval workflow, OT to payroll",,approval-workflow;attendance;indonesian-payroll;payroll,hr.attendance,
custom_bank_import,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.0.3.0,5,0,1825,22,1,9,2026-07-29,0,False,LGPL-3,False,CSV template-based bank statement import + H2H bank API adapter framework,,,custom.bank.h2h.connection;custom.bank.import.log;custom.bank.import.template,
custom_barcode,ee_gap,Inventory & Logistics,A,GENERIC,ADOPT,19.0.2.0.0,4,6,2563,33,3,10,2026-07-22,0,True,LGPL-3,False,EE-equivalent mobile-friendly barcode scan-in/scan-out for stock pickings (CE),,barcode-scan,custom.barcode.batch.session;custom.barcode.cluster.assignment;custom.barcode.cluster.run;custom.barcode.format;custom.barcode.scan.line;custom.label.template;custom.print.queue;custom.printer.config,
custom_coretax_export,ee_gap,Indonesia Compliance,B,GENERIC,ADOPT,19.0.1.3.0,6,0,1118,11,3,4,2026-08-04,0,False,LGPL-3,False,"Emit DJP-conformant Coretax import workbooks: e-Faktur Keluaran (FK/OF), Retur Masukan, Bupot Unifikasi, Bupot PPh 21, Bupot Non-Resident",,coretax;indonesian-tax;withholding,,
custom_coretax_pajakku,ee_gap,Indonesia Compliance,B,GENERIC,ADOPT,19.0.0.1.0,4,1,1336,23,4,4,2026-05-23,0,False,LGPL-3,False,Host-to-host adapter for Pajakku (mitrapajakku) as an Authorized Service Provider Pajak,,coretax;indonesian-tax,custom.coretax.pajakku.usage,
custom_crm,ee_gap,Sales / Rental / Service,B,GENERIC,ADOPT,19.0.0.2.0,4,0,932,19,3,7,2026-07-29,0,True,LGPL-3,False,"CRM EE-equivalent: lead mining, predictive scoring, enrichment, web-form intake, automation",,crm,,crm.lead.x_lead_mining_request_id~lead_mining_request_id
custom_dashboards,ee_gap,Productivity & AI,B,GENERIC,ADOPT,19.0.0.2.0,4,0,1250,22,2,7,2026-07-29,0,True,LGPL-3,False,Lightweight tile-based KPI dashboards with AI NLQ,,ai,,
custom_data_cleaning,ee_gap,Productivity & AI,B,GENERIC,ADOPT,19.0.0.2.0,4,0,1167,22,2,5,2026-06-11,0,True,LGPL-3,False,"CE-based data cleaning: deduplication rules and Indonesian format normalization (phone, NIK)",,,custom.dedup.candidate,
custom_documents,ee_gap,Productivity & AI,C,GENERIC,DEFER,19.0.0.1.0,4,4,443,15,0,6,2026-05-28,0,True,LGPL-3,False,"Document management with workspaces, tagging, versioning, and PDP-aware access",services,audit-trail;pdp,document.document;document.tag;document.version;document.workspace,
custom_ecommerce,ee_gap,Marketing & Web,C,GENERIC,DEFER,19.0.0.2.0,5,1,613,15,0,4,2026-06-11,3,True,LGPL-3,False,"Indonesian courier registry (JNE, JNT, SiCepat, AnterAja, Pos) and Midtrans/Xendit checkout link via custom_payment_id",,ecommerce,custom.ecommerce.cart.abandonment,delivery.carrier.currency_id~currency_id
custom_elearning,ee_gap,Marketing & Web,C,GENERIC,DEFER,19.0.0.2.0,5,0,728,17,0,5,2026-06-11,0,True,LGPL-3,False,"Extend website_slides with Indonesian certificates, cohorts, and appraisal integration",,ai,,
custom_email_marketing,ee_gap,Marketing & Web,B,GENERIC,ADOPT,19.0.0.2.0,5,0,1121,22,2,6,2026-08-04,0,True,LGPL-3,False,"Template gallery, A/B testing, and UU PDP-compliant unsubscribe on top of mass_mailing",,ai;audit-trail;marketing;pdp,,
custom_esb_connector,ee_gap,Inventory & Logistics,B,GENERIC,ADOPT,19.0.0.1.0,5,1,2957,45,5,1,2026-07-29,5,False,LGPL-3,False,"Integration engine for ESB Core / ESB OMS (esb.co.id F&B ERP): session-managed REST adapters, master-data mirror, stock snapshot and an idempotent document outbox",fnb,,custom.esb.branch;custom.esb.document.template;custom.esb.location;custom.esb.product.detail;custom.esb.purpose;custom.esb.session;custom.esb.supplier;custom.esb.sync.log,
custom_esg,ee_gap,Indonesia Compliance,C,GENERIC,DEFER,19.0.0.1.0,4,0,931,20,0,6,2026-07-29,0,True,LGPL-3,False,"Environmental, Social, Governance metrics for OJK POJK 51/2017 sustainability reporting",,ai,custom.esg.account.mapping;custom.esg.emission.factor;custom.esg.materiality,
custom_events,ee_gap,Marketing & Web,C,GENERIC,DEFER,19.0.0.2.0,6,0,465,14,0,4,2026-06-11,0,True,LGPL-3,False,"Events CE extension: WhatsApp tickets w/ QR PNG, QR check-in URL, sponsors, tracks, post-event survey, capacity/waitlist",,ai;whatsapp,custom.event.sponsor,event.event.sponsor_count~sponsor_count;event.event.sponsor_ids~sponsor_ids
custom_expenses,ee_gap,HR & People,A,GENERIC,ADOPT,19.0.0.2.0,5,0,1381,20,3,10,2026-07-29,0,True,LGPL-3,False,"AI OCR receipt extraction, generic approval engine, PDP audit, expense reports, corporate cards, mileage tracking, reimbursement payments for hr.expense",,ai;approval-workflow;audit-trail;pdp,hr.expense,
custom_field_service,ee_gap,Sales / Rental / Service,C,GENERIC,DEFER,19.0.0.1.0,4,1,634,20,0,6,2026-05-28,0,True,LGPL-3,False,"Technician dispatch, on-site work orders, materials, signature capture",,,fsm.site;fsm.skill;fsm.technician;fsm.work.order;fsm.work.order.material,
custom_finance_budget,ee_gap,Finance & Accounting,C,GENERIC,DEFER,19.0.0.1.0,6,1,251,7,0,4,2026-07-29,0,False,LGPL-3,False,Cost budget per division/period (synced from SAP) with consumption check for Finance Portal submissions,,,finance.budget,
custom_finance_portal,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.0.1.0,5,3,2110,21,1,5,2026-07-29,0,True,LGPL-3,False,"Finance Portal engagement layer over SAP — Cash Advance, Reimbursement, Vendor Invoice, Travel settlement with Tax/Finance approval (no native GL posting)",,approval-workflow,finance.cash.advance.line;finance.cash.advance.realization;finance.cash.advance.realization.line;finance.invoice.routine.type;finance.invoice.type;finance.item.submission;finance.limitation;finance.reimbursement;finance.reimbursement.line;finance.submission.type;finance.travel.settlement;finance.vendor.invoice.line;finance.vertical,
custom_finance_portal_sap,ee_gap,Finance & Accounting,C,GENERIC,DEFER,19.0.0.1.0,7,0,624,12,0,3,2026-07-29,0,False,LGPL-3,False,"Bridge adapter, async push, master-data sync, status webhook and sync log connecting the Finance Portal to SAP & HRIS via the Kafka bridge microservice",,,,
custom_finance_portal_sso,ee_gap,Finance & Accounting,C,GENERIC,DEFER,19.0.0.1.0,6,0,128,6,0,1,2026-07-03,0,False,LGPL-3,False,Keycloak SSO login + role→group mapping (employee vs vendor) for the Finance Portal,,,,
custom_fleet_id,ee_gap,Other,B,GENERIC,ADOPT,19.0.0.2.0,4,0,1272,18,2,5,2026-06-11,0,True,LGPL-3,False,"Indonesia fleet localization: STNK & KIR reminders, BBM tracking, driver assignment with PDP audit",,audit-trail;fleet;pdp,,
custom_forum,ee_gap,Marketing & Web,C,GENERIC,DEFER,19.0.0.1.0,4,0,570,15,0,7,2026-07-29,1,True,LGPL-3,False,"Website Forum extensions: AI moderation, gamification, PDP author masking",,ai;audit-trail;pdp,custom.forum.trending.topic,
custom_frontdesk,ee_gap,HR & People,C,GENERIC,DEFER,19.0.0.1.0,6,0,634,14,0,4,2026-06-11,0,True,LGPL-3,False,Visitor management with host notification and PDP audit,,audit-trail;pdp,custom.frontdesk.station,
custom_helpdesk,ee_gap,Sales / Rental / Service,C,GENERIC,DEFER,19.0.0.1.0,4,4,707,20,0,7,2026-07-29,0,True,LGPL-3,False,"Ticket pipeline with SLA, escalation and customer portal",services,helpdesk,helpdesk.sla;helpdesk.tag;helpdesk.team,
custom_hr_appraisal,ee_gap,HR & People,C,GENERIC,DEFER,19.0.0.1.0,4,2,502,17,0,5,2026-05-28,0,True,LGPL-3,False,"Performance reviews with templates, 360 feedback, and competency scoring",,ai,appraisal.appraisal;appraisal.cycle;appraisal.line;appraisal.template;appraisal.template.item,
custom_hr_leave_id,ee_gap,HR & People,B,GENERIC,ADOPT,19.0.0.2.0,5,0,1191,27,2,7,2026-07-29,0,True,LGPL-3,False,"Indonesian localization for HR Time Off (UU Cipta Kerja, cuti haid, public holidays, carry-over)",,ai,hr.leave,
custom_hr_payroll_id,ee_gap,HR & People,B,GENERIC,ADOPT,19.0.0.2.0,4,6,2906,36,5,9,2026-08-04,0,True,LGPL-3,False,"PPh 21 TER + Annual progressive, BPJS Kes/TK, PTKP, THR, SPT 1721 A1",,indonesian-payroll;indonesian-tax;payroll;withholding,hr.payroll.config;hr.payslip.line,
custom_hr_referral,ee_gap,HR & People,C,GENERIC,DEFER,19.0.0.1.0,4,0,397,15,0,5,2026-05-28,0,True,LGPL-3,False,Employee referral program with candidate tracking + reward ledger,,,referral.candidate;referral.position;referral.reward,
custom_hr_sso_keycloak,ee_gap,HR & People,B,GENERIC,ADOPT,19.0.0.1.0,2,0,495,13,2,4,2026-07-09,0,False,LGPL-3,False,"Keycloak SSO on Odoo auth_oauth; links & syncs hr.employee from claims + HC API, per-tenant, non-blocking",,ai;multi-tenant,,
custom_intercompany_procurement,ee_gap,Inventory & Logistics,C,GENERIC,DEFER,19.0.0.1.0,6,0,657,12,0,7,2026-07-29,5,False,LGPL-3,False,Auto-mirror purchase.order + stock.picking antar sister company (intra-group pattern),,accounting;intercompany,purchase.order;stock.picking,
custom_iot_bridge,ee_gap,Platform & Ops,C,GENERIC,DEFER,19.0.0.1.0,4,1,456,17,0,5,2026-05-28,0,True,LGPL-3,False,Ingest sensor/device readings via webhook; surface in dashboards + threshold alerts,,iot,iot.device;iot.threshold,
custom_knowledge,ee_gap,Productivity & AI,B,GENERIC,ADOPT,19.0.0.2.0,5,0,1210,26,2,6,2026-06-11,0,True,LGPL-3,False,Lightweight internal wiki / knowledge base,,knowledge,knowledge.article.version;knowledge.tag,
custom_livechat,ee_gap,Marketing & Web,B,GENERIC,ADOPT,19.0.0.2.0,5,0,1187,23,2,7,2026-08-04,0,True,LGPL-3,False,"Escalate chat to helpdesk, canned responses, chatbot scripts, skill routing, AI suggested reply, visitor ratings",,ai;helpdesk,custom.livechat.chatbot.step,
custom_lunch,ee_gap,HR & People,C,GENERIC,DEFER,19.0.0.2.0,5,0,474,15,0,5,2026-06-11,0,True,LGPL-3,False,"EE-equivalent lunch: live GoFood/GrabFood/ShopeeFood links, real payroll deduction, halal badge, spice filters, daily auto-publish, weekly calorie report",,ai;indonesian-payroll;payroll,,
custom_maintenance,ee_gap,Sales / Rental / Service,B,GENERIC,ADOPT,19.0.0.2.0,5,2,1043,19,2,7,2026-07-29,0,True,LGPL-3,False,"IoT alerts, MTBF/MTTR, predictive scheduling, SLA, spare parts and cost tracking",,ai;iot,maintenance.equipment;maintenance.request,
custom_marketing_automation,ee_gap,Marketing & Web,C,GENERIC,DEFER,19.0.0.1.0,5,0,517,17,0,6,2026-05-28,0,True,LGPL-3,False,Multi-step email campaigns + drip sequences + audience segmentation,,ai;marketing,marketing.campaign;marketing.campaign.step;marketing.participant;marketing.segment,
custom_mrp_plm,ee_gap,Sales / Rental / Service,C,GENERIC,DEFER,19.0.0.1.0,4,0,348,14,0,6,2026-05-28,0,True,LGPL-3,False,"Product Lifecycle Management: ECO workflow, BoM versioning, approval-gated changes",,approval-workflow;manufacturing;plm,mrp.eco;mrp.eco.stage,
custom_payment_admin_fee,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.1.1.0,1,0,384,9,1,1,2026-08-04,0,False,LGPL-3,False,Multi-COA admin/bank fee lines on the Register Payment wizard.,,,,
custom_payment_id,ee_gap,Finance & Accounting,C,GENERIC,DEFER,19.0.0.1.0,4,3,1479,20,0,8,2026-08-04,0,True,LGPL-3,False,Midtrans / Xendit / DOKU adapters for payment.provider,,,,payment.provider.code~code
custom_petty_cash,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.0.4.0,6,0,2507,35,1,6,2026-08-04,6,True,LGPL-3,False,"Employee petty cash advances: request, Finance approval, Bank-Out disbursement, realization (third-party vendor bill or plain expense), return/top-up settlement, plus outstanding & aging monitoring.",,ai;approval-workflow,petty.cash.realization.line;petty.cash.request.line,
custom_planning,ee_gap,HR & People,C,GENERIC,DEFER,19.0.0.1.0,4,0,300,13,0,5,2026-05-28,0,True,LGPL-3,False,Resource planning + shift scheduling for SMB teams,manufacturing,,planning.role;planning.slot,
custom_po_return,ee_gap,Inventory & Logistics,B,GENERIC,ADOPT,19.0.0.1.0,1,0,1034,15,1,5,2026-08-04,0,False,LGPL-3,False,Quantity-driven vendor returns with FIFO allocation across POs/GRs and auto credit notes,,,custom.po.return.allocation;custom.po.return.line,
